Restart,Generation,Fitness,Individual
0,0,,"[198, 0.210695402194629, 58, 6, 0.8744412733052677, 0.33303575435855065]"
0,1,,"[246.76297356086002, 0.899372692617678, 55, 20.936937410943848, 0.37463520218026375, 0.2258843842500474]"
0,2,,"[1356, 0.37431438862984523, 56, 63, 0.22161539814959566, 0.011035124475656409]"
0,3,,"[1408.679629026945, 0.6192733394242542, 87, 76, 0.4546354699665512, 0.037153134054623706]"
0,4,,"[104.75771649739352, 0.11552387586556823, 48, 67, 0.6785992570324161, 0.5529532418223211]"
0,5,,"[74.11922296096546, 0.4804694341947977, 8, 40, 0.6785992570324161, 0.7886665894685811]"
1,0,,"[1033, 0.6192810575321707, 85, 16, 0.20052990261813974, 0.9312013317258446]"
1,1,,"[1625, 0.6207082684044859, 37, 82, 0.25317559967401515, 0.5797947064818676]"
1,2,,"[361, 0.6234826737245339, 59, 46, 0.12293829739236486, 0.18618993830130995]"
1,3,,"[1874, 0.7661876627821659, 50, 53, 0.18691094788988183, 0.7121871898930421]"
1,4,,"[435.51238126397004, 0.7661876627821659, 11.260522275123368, 97.85305098782888, 0.8109071041206649, 0.9062155139853854]"
1,5,,"[361, 0.6234826737245339, 59, 46, 0.12293829739236486, 0.18618993830130995]"
2,0,,"[936.0158473617422, 0.7766148526588872, 54, 2, 0.05341669749158359, 0.1919691150532773]"
2,1,,"[338, 0.5628734579831776, 86, 77, 0.7446094827543036, 0.2679770873385705]"
2,2,,"[1416, 0.20383519794428487, 82, 36, 0.6411767445138288, 0.16748457170233916]"
2,3,,"[492, 0.957617632738474, 56, 63, 0.906412002760197, 0.8847946933814809]"
2,4,,"[1905.3167808608082, 0.7661696512692592, 5.25801683104001, 95.09251103081985, 0.2510838879042138, 0.9615883957401447]"
2,5,,"[615.2001977709093, 0.8795161867124021, 92, 98.49447255456309, 0.013934798321147496, 0.9499807495994315]"
3,0,,"[291, 0.39707478701400234, 12, 63, 0.08182033319327231, 0.3585557365609149]"
3,1,,"[848, 0.6761374271967938, 91, 79, 0.2531131301980072, 0.3704888887821153]"
3,2,,"[1211, 0.5015865396402025, 54, 63, 0.7289402998583658, 0.963194073975803]"
3,3,,"[865.6306317756804, 0.34388002624856945, 69.04978056538818, 17, 0.6160188069657024, 0.1029376407451097]"
3,4,,"[481, 0.3091189925945893, 34, 68, 0.7289402998583658, 0.42047164436306905]"
3,5,,"[481, 0.12826076866083022, 34, 68, 0.7289402998583658, 0.42047164436306905]"
4,0,,"[1481, 0.24108286324155276, 98, 49, 0.4518695798667288, 0.6000694213507135]"
4,1,,"[337, 0.9248168235470896, 61, 67, 0.052360582957427994, 0.17673496430873775]"
4,2,,"[337, 0.9248168235470896, 61, 67, 0.052360582957427994, 0.17673496430873775]"
4,3,,"[519, 0.3986092634428442, 58, 53, 0.7590921821063382, 0.05203358381241571]"
4,4,,"[686, 0.9422491072555126, 52, 97, 0.8312063463984823, 0.6113413694873053]"
4,5,,"[142, 0.3986092634428442, 76, 69, 0.8700023543022999, 0.409774572801603]"
